INSTITUICAO_ENSINO_ALUNO_2024,NOME,IDADE_ALUNO_2024,ANOS_PM_2024,FASE_TURMA_2024,PONTO_VIRADA_2024,INDE_2024,INDE_CONCEITO_2024,PEDRA_2024,DESTAQUE_IEG_2024,DESTAQUE_IDA_2024,DESTAQUE_IPV_2024,IAA_2024,IEG_2024,IPS_2024,IDA_2024,IPP_2024,IPV_2024,IAN_2024
,Aluno-191,15,,7E,,"7,7887",,,,,,"7,5","9,6","5,9","6,4","7,5","7,5",10
,Aluno-1236,22,,8A,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1234,21,,8A,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1633,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1248,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1246,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1245,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1244,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1634,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1242,20,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1250,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1241,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1240,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1249,27,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1239,21,,8B,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
