NOME,FASE_2023,TURMA_2023,INSTITUICAO_ENSINO_ALUNO_2023,PEDRA_2023,INDE_2023,IAA_2023,IEG_2023,IPS_2023,IDA_2023,IPP_2023,PONTO_VIRADA_2023,IPV_2023,IAN_2023,NIVEL_IDEAL_2023,DEFASAGEM_2023
Aluno-608,FASE 1,1K,Pública,Ametista,"7,401741667","10,0","7,5","7,52","6,2","7,97",,"8,11",5,Fase 2 (5° e 6° ano),-1
Aluno-788,FASE 1,1K,Pública,Ametista,"7,806091667","7,9","9,8","2,52","6,9","7,66",,"8,28",10,Fase 1 (3° e 4° ano),0
Aluno-784,FASE 1,1L,Pública,Topázio,"8,171366667","10,0","9,5","7,52","7,3","8,13",,"8,78",5,Fase 2 (5° e 6° ano),-1
Aluno-785,FASE 1,1L,Pública,Topázio,"8,137866667","9,0","8,5","7,52","8,8","7,92",,"8,67",5,Fase 2 (5° e 6° ano),-1
Aluno-587,FASE 1,1L,Pública,Agata,"6,032033333","8,5","7,0","7,52","2,7","6,46",,"6,72",5,Fase 2 (5° e 6° ano),-1
Aluno-790,FASE 1,1L,Pública,Agata,"6,707666667","0,0","8,1","7,52","7,4","7,08",,"8,29",5,Fase 3 (7° e 8° ano),-2
Aluno-663,FASE 1,1L,Pública,Agata,"6,969133333","6,9","7,4","7,52","7,0","6,67",,"7,39",5,Fase 2 (5° e 6° ano),-1
Aluno-664,FASE 1,1L,Pública,Topázio,"8,0872","9,0","9,6","7,52","8,0","7,92",,"8,12",5,Fase 2 (5° e 6° ano),-1
Aluno-761,FASE 1,1L,Pública,Topázio,"8,219533333","9,0","9,7","7,52","8,4","8,33",,"8,12",5,Fase 2 (5° e 6° ano),-1
Aluno-1057,FASE 1,1L,Pública,Topázio,"8,4827","10,0","10,0","7,52","6,3","8,13",,"8,34",10,Fase 1 (3° e 4° ano),0
Aluno-629,FASE 1,1L,Pública,Topázio,"8,013866667","10,0","9,4","7,52","7,5","7,92",,"7,95",1900-01-04 00:00:00,Fase 2 (5° e 6° ano),-1
Aluno-832,FASE 1,1L,Pública,Topázio,"8,2697","10,0","9,5","7,52","8,5","7,71",,"8,28",5,Fase 2 (5° e 6° ano),-1
Aluno-594,FASE 1,1L,Pública,Agata,"6,702033333","8,5","7,1","6,27","5,8","6,88",,"7,34",5,Fase 2 (5° e 6° ano),-1
Aluno-617,FASE 1,1L,Pública,Agata,"6,816166667","0,0","9,0","7,52","6,9","7,71",,"8,12",5,Fase 2 (5° e 6° ano),-1
Aluno-767,FASE 1,1L,Pública,Ametista,"7,3807","10,0","8,3","7,52","6,3","7,29",,"7,45",5,Fase 2 (5° e 6° ano),-1
Aluno-1058,FASE 1,1L,Pública,Ametista,"7,356533333","10,0","8,7","3,14","5,4","7,08",,"7,62",10,Fase 1 (3° e 4° ano),0
Aluno-747,FASE 1,1L,Pública,Agata,"6,026366667","10,0","8,0","3,14","3,1","6,04",,"6,94",5,Fase 2 (5° e 6° ano),-1
Aluno-827,FASE 1,1M,Pública,Ametista,"7,419925","7,9","8,1","3,14","8,1","8,28",,"8,73",5,Fase 2 (5° e 6° ano),-1
Aluno-1059,FASE 1,1M,Pública,Ametista,"7,763741667","10,0","9,8","2,52","7,6","7,97",,"8,67",5,Fase 2 (5° e 6° ano),-1
Aluno-612,FASE 1,1M,Privada - Programa de Apadrinhamento,Topázio,"8,410783333","9,0","9,7","3,77","9,7","9,06",,"9,29",5,Fase 2 (5° e 6° ano),-1
Aluno-1060,FASE 1,1M,Pública,Ametista,"7,095741667","9,0","8,6","3,14","5,7","7,97",,"8,67",5,Fase 2 (5° e 6° ano),-1
Aluno-665,FASE 1,1M,Pública,Agata,"6,185658333","9,5","4,9","2,52","5,2","8,28",,"8,23",5,Fase 2 (5° e 6° ano),-1
Aluno-829,FASE 1,1M,Pública,Topázio,"8,532075","9,0","9,4","3,14","8,4","9,22",,"9,23",10,Fase 1 (3° e 4° ano),0
Aluno-1061,FASE 1,1M,Pública,Topázio,"8,196533333","9,5","9,7","3,14","9,3","8,75",,"8,84",5,Fase 2 (5° e 6° ano),-1
Aluno-1062,FASE 1,1M,Pública,Ametista,"7,448841667","7,4","7,7","3,77","6,2","8,59",,"8,50",10,Fase 1 (3° e 4° ano),0
Aluno-615,FASE 1,1M,Pública,Ametista,"7,815658333","10,0","9,7","3,14","7,6","8,28",,"8,62",5,Fase 2 (5° e 6° ano),-1
Aluno-833,FASE 1,1M,Pública,Ametista,"7,81295","10,0","9,5","3,77","7,4","8,44",,"8,56",5,Fase 2 (5° e 6° ano),-1
Aluno-630,FASE 1,1M,Pública,Ametista,"7,199991667","9,0","8,6","3,77","5,7","8,28",,"8,67",5,Fase 2 (5° e 6° ano),-1
Aluno-752,FASE 1,1N,Pública,Topázio,"8,073825","9,5","9,9","7,52","6,4","7,66",,"9,23",5,Fase 2 (5° e 6° ano),-1
Aluno-777,FASE 1,1N,Pública,Ametista,"7,468125","0,0","9,3","7,52","6,3","8,28",,"8,84",10,Fase 1 (3° e 4° ano),0
Aluno-1063,FASE 1,1N,Privada - Programa de Apadrinhamento,Ametista,"7,490825","9,5","9,5","7,52","5,9","6,41",,"7,89",5,Fase 2 (5° e 6° ano),-1
Aluno-764,FASE 1,1N,Pública,Ametista,"7,682125","0,0","9,2","7,52","7,8","8,28",,"8,56",10,Fase 1 (3° e 4° ano),0
Aluno-1064,FASE 1,1N,Pública,Topázio,"8,4777","8,5","9,8","7,52","8,6","9,38",,"8,84",5,Fase 2 (5° e 6° ano),-1
Aluno-1065,FASE 1,1N,Pública,Topázio,"8,03395","8,5","9,6","7,52","7,0","8,44",,"8,84",5,Fase 2 (5° e 6° ano),-1
Aluno-772,FASE 1,1N,Pública,Quartzo,"5,930166667","0,0","7,2","7,52","4,8","6,88",,"8,00",5,Fase 3 (7° e 8° ano),-2
Aluno-781,FASE 1,1N,Pública,Topázio,"8,209283333","7,5","9,8","7,52","7,9","8,44",,"9,12",5,Fase 2 (5° e 6° ano),-1
Aluno-1066,FASE 1,1N,Pública,Ametista,"7,262616667","8,5","6,6","7,52","6,2","8,44",,"8,78",5,Fase 2 (5° e 6° ano),-1
